fr_common_name;name;date;site;total_count
Héron cendré;Ardea cinerea;17/12/2019;Site_04;5
Grand Cormoran;Phalacrocorax carbo;17/12/2019;Site_05;3
Héron cendré;Ardea cinerea;17/12/2019;Site_05;1
Grande Aigrette;Casmerodius albus;17/12/2019;Site_05;1
Canard colvert;Anas platyrhynchos;17/12/2019;Site_05;2
Canard chipeau;Anas strepera;17/12/2019;Site_05;17
Canard colvert;Anas platyrhynchos;17/12/2019;Site_05;4
Canard colvert;Anas platyrhynchos;17/12/2019;Site_01;10
Foulque macroule;Fulica atra;17/12/2019;Site_01;3
Grand Cormoran;Phalacrocorax carbo;17/12/2019;Site_01;1
Héron cendré;Ardea cinerea;17/12/2019;Site_07;1
Pic épeiche;Dendrocopos major;17/12/2019;Site_07;1
Cygne tuberculé;Cygnus olor;17/12/2019;Site_01;2
Foulque macroule;Fulica atra;17/12/2019;Site_07;2
Rougegorge familier;Erithacus rubecula;17/12/2019;Site_07;1
Canard colvert;Anas platyrhynchos;17/12/2019;Site_07;19
Canard colvert;Anas platyrhynchos;17/12/2019;Site_07;9
Grive litorne;Turdus pilaris;17/12/2019;Site_07;100
Fuligule milouin;Aythya ferina;17/12/2019;Site_01;2
Cygne tuberculé;Cygnus olor;17/12/2019;Site_01;1
Martin-pêcheur d'Europe;Alcedo atthis;17/12/2019;Site_01;1
Canard colvert;Anas platyrhynchos;17/12/2019;Site_01;2
Grande Aigrette;Casmerodius albus;17/12/2019;Site_02;1
Sarcelle d'hiver;Anas crecca;17/12/2019;Site_02;8
Canard souchet;Anas clypeata;17/12/2019;Site_02;1
Héron cendré;Ardea cinerea;17/12/2019;Site_02;1
Harle bièvre;Mergus merganser;18/12/2019;Site_06;1
Grèbe huppé;Podiceps cristatus;18/12/2019;Site_06;2
Gallinule poule-d'eau;Gallinula chloropus;19/12/2019;Site_02;2
Sarcelle d'hiver;Anas crecca;19/12/2019;Site_02;4
